Decade	RhymedNwords	RhymedNsyl	UPoS	LineText	Author
1820s	1	1	NOUN	«Промча̀лась ту̀ча гро̀зных бѐд,	В. Г. Тепляков
1820s	1	1	NOUN	Вечѐрний зво̀н, вечѐрний зво̀н!	И. И. Козлов
1820s	1	1	NOUN	Давно̀ ли жѝзнию̀ кипѐла в сѐрдце кро̀вь?	В. Н. Олин
1820s	1	1	NOUN	Наш сла̀вный Владѝмир, наш со̀лнышко-кня̀зь,	П. А. Катенин
1820s	1	1	PRON	Не прѝвлека̀ю дѐвы я̀,	А. Ф. Вельтман
1820s	1	1	PRON	Снача̀ла жѝзнь пленя̀ет на̀с:	Д. В. Веневитинов
1820s	1	1	PRON	Ты в Пѐтербу̀рге, ты̀ со мно̀й,	А. А. Дельвиг
1820s	1	2	ADJ	Голо̀в сто, мнѐний сто̀; год но̀вый -- вку̀с ино̀й;	А. Г. Родзянка
1820s	1	2	ADJ	Девѝца ю̀ная̀ подо̀бна ро̀зе нѐжной,	К. Н. Батюшков
1820s	1	2	ADJ	О̀тчего̀, мой а̀нгел мѝлый,	И. П. Мятлев
1820s	1	2	ADJ	Под ка̀мнем сѝм лежѝт Моса̀льский то̀щий:	Д. В. Давыдов
1820s	1	2	ADV	Ничто̀ не бессмѐртно, не про̀чно	Е. А. Баратынский : А. А. Дельвиг : В. А. Эртель
1820s	1	2	ADV	Сбыло̀сь, что вы̀ жела̀ли та̀йно,	А. В. Кольцов
1820s	1	2	DET	Быва̀ло, в ю̀ностѝ моѐй	В. И. Козлов
1820s	1	2	DET	Шли два̀ Осла̀ доро̀гою̀ одно̀й	А. Е. Измайлов
1820s	1	2	NOUN	Быть мо̀жет, мѝлый дру̀г, разгнѐванны̀е бо̀ги	П. А. Плетнев
1820s	1	2	NOUN	Влады̀ко щито̀в,	А. И. Полежаев
1820s	1	2	NOUN	Где гѝбкий орѐшник сплета̀ется с ѝвой,	П. П. Шкляревский
1820s	1	2	NOUN	Землѝ улы̀бка, ра̀дость нѐба,	А. Н. Муравьев
1820s	1	2	NOUN	Ита̀к, наста̀л сей дѐнь побѐды, сла̀вы, мщѐнья;	А. С. Хомяков
1820s	1	2	NOUN	Лицо̀ моѐ горѝт на со̀лнечны̀х луча̀х,	А. Г. Ротчев
1820s	1	2	NOUN	Люблю̀ я зву̀к твоѝх речѐй,	В. И. Туманский
1820s	1	2	NOUN	Любо̀вь землѝ и прѐлесть го̀да,	Ф. И. Тютчев
1820s	1	2	NOUN	На мо̀ре лѐгкий лѐг тума̀н,	С. Е. Раич
1820s	1	2	NOUN	Напра̀сно я̀ мечта̀л о по̀честя̀х и сла̀ве	М. А. Дмитриев
1820s	1	2	NOUN	Не ча̀сто ль ты̀ в мечта̀х, заду̀мчивы̀й Певѐц,	А. А. Крылов
1820s	1	2	NOUN	Обѝтель мѝрная̀ отшѐльнико̀в святы̀х,	С. Д. Нечаев
1820s	1	2	NOUN	Ох, тѐтинька̀! ох, А̀нна Льво̀вна,	А. С. Пушкин : А. А. Дельвиг
1820s	1	2	NOUN	Падѐт в наш у̀м чуть вѝдноѐ зерно̀	С. П. Шевырев
1820s	1	2	NOUN	По льду̀ Невы̀, любу̀ясь бѐгом,	Д. И. Хвостов
1820s	1	2	NOUN	Степѐнный у̀м и по̀здны лѐты,	Б. М. Федоров
1820s	1	2	NOUN	Струн вѐщих пла̀менны̀е зву̀ки	А. И. Одоевский
1820s	1	2	NOUN	Сын сѐвера̀! суро̀в и хла̀ден тво̀й клима̀́т;	И. И. Дмитриев
1820s	1	2	NOUN	Ты прѐлестѝ злато̀го вѐка	А. С. Норов
1820s	1	2	NOUN	Христо̀с ражда̀ется̀ -- наро̀ды! сла̀вьте с клѝком,	С. А. Ширинский-Шихматов
1820s	1	2	NOUN	Шел Дѐрвиш; у̀томя̀сь в степѝ, палѝмой зно̀ем,	А. Д. Илличевский
1820s	1	2	NOUN	Я вѝдел Ку̀р; он ка̀тит во̀ды	А. А. Шишков
1820s	1	2	VERB	«Нѐ спешѝ, моя̀ краса̀вица̀, посто̀й:	В. И. Панаев
1820s	1	2	VERB	Да̀ша мѝлая̀, простѝ:	П. П. Ершов
1820s	1	2	VERB	Молю̀, слова̀ми нѐ игра̀й,	Н. С. Теплова
1820s	1	2	VERB	О чѐм я в ю̀ностѝ мечта̀л,	А. Х. Востоков
1820s	1	3	ADJ	Жѝл да бы̀л пету̀х индѐйский,	Е. А. Баратынский : С. А. Соболевский
1820s	1	3	ADJ	Неро̀н сказа̀л бога̀м держа̀вным:	Ф. К. Сологуб
1820s	1	3	ADJ	О ю̀ноша̀ бессмѐртный!	В. Н. Григорьев
1820s	1	3	ADJ	С тех по̀р как слу̀чаѐм игрѝвым	О. М. Сомов
1820s	1	3	ADJ	Свинья̀ под Ду̀бом вѐковы̀м	И. А. Крылов
1820s	1	3	ADJ	Хор гря̀нул!.. Кто̀ слетѐл в гармо̀ниѝ небѐсной?	А. Ф. Мерзляков
1820s	1	3	ADV	Друзья̀, сего̀дни нѐвзнача̀й	Н. М. Коншин
1820s	1	3	ADV	Он то̀чно, о̀н бесспо̀рно,	Е. А. Баратынский : А. С. Пушкин
1820s	1	3	ADV	Фило̀соф Гѐраклѝт, напла̀кавшѝсь досы̀та,	К. П. Масальский
1820s	1	3	NOUN	Ах, где тѐ острова̀,	К. Ф. Рылеев : А. А. Бестужев-Марлинский
1820s	1	3	NOUN	Бы̀ло врѐмя, мо̀й прия̀тель,	Н. М. Языков
1820s	1	3	NOUN	Вздрогну̀в от у̀жаса̀, с трепѐщущѐй душо̀ю,	Е. Ф. Розен
1820s	1	3	NOUN	Во̀т уга̀с ого̀нь деннѝцы,	Ф. А. Кони
1820s	1	3	NOUN	Есть на̀ землѐ безвѐстный у̀голо̀к,	Ф. А. Туманский
1820s	1	3	NOUN	Из са̀вана̀ одѐлся о̀н в ливрѐю,	А. А. Бестужев-Марлинский
1820s	1	3	NOUN	К чему̀ печа̀льноѐ сомнѐнье?	А. И. Подолинский
1820s	1	3	NOUN	Когда̀ б он зна̀л, что пла̀менно̀й душо̀ю	Е. П. Ростопчина
1820s	1	3	NOUN	Мѝлый со̀н, душѝ пленѝтель,	В. А. Жуковский
